variable,table,description,unit,data_type,geographic_level,temporal_level,source_id,raw_or_derived,formula,causal_role,missing_share,notes
Irlande Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Irlande Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Islande Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Islande Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Israël Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Israël Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Italie Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Italie Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Japon Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Japon Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Koweït Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Koweït Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Lettonie Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Lettonie Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Liechtenstein Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Liechtenstein Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Lituanie Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Lituanie Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Luxembourg Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Luxembourg Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Malaisie Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Malaisie Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Malte Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Malte Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Mexique Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Mexique Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Mois,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Norvège Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Norvège Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
"Nouvelle Zélande, Océanie Arrivées",nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
"Nouvelle Zélande, Océanie Nuitées",nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Oman Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Oman Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Pays de provenance - total Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Pays de provenance - total Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Pays-Bas Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Pays-Bas Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Philippines Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Philippines Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Pologne Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Pologne Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Portugal Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Portugal Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Qatar Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Qatar Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Roumanie Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Roumanie Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Royaume-Uni Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Royaume-Uni Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Russie Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Russie Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Serbie Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Serbie Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Singapour Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Singapour Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Slovaquie Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Slovaquie Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Slovénie Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Slovénie Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Suisse Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Suisse Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Suède Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Suède Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Taïwan (Taipei chinois) Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Taïwan (Taipei chinois) Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Tchéquie Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Tchéquie Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Thaïlande Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Thaïlande Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Turquie Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Turquie Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Ukraine Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Ukraine Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Égypte Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Égypte Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Émirats arabes unis Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
Émirats arabes unis Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
États-Unis Arrivées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
États-Unis Nuitées,nuitée_commune_final,Source field; definition requires verification,UNKNOWN,string,municipality label,UNKNOWN,LOCAL_5c587073db3b,existing thesis input,,unclassified,0.0,
certitude,position_gps_stations_ski,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_afb2b0d65a48,existing thesis input,,unclassified,0.0,
latitude,position_gps_stations_ski,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_afb2b0d65a48,existing thesis input,,unclassified,0.0,
longitude,position_gps_stations_ski,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_afb2b0d65a48,existing thesis input,,unclassified,0.0,
position_trouvee,position_gps_stations_ski,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_afb2b0d65a48,existing thesis input,,unclassified,0.0,
station,position_gps_stations_ski,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_afb2b0d65a48,existing thesis input,,unclassified,0.0,
data_quality_score,resort_data_quality,Evidence-completeness score across eight equally weighted components,0-100 score,float,resort listing,current checkpoint,DERIVED_MULTI_SOURCE,derived,"100 * mean(identity scope, lift assignment, geolocation, tourism exposure, hotel outcome, membership history, infrastructure completeness, snow/climate)",quality indicator,0.000000,"Not an opportunity, performance, or causal-effect score"
data_quality_warnings,resort_data_quality,Pipe-delimited unresolved evidence dimensions,labels,string,resort listing,current checkpoint,DERIVED_MULTI_SOURCE,derived,deterministic component-level warning rules,quality indicator,0.000000,Weak observations remain visible
altitude_top_m,resort_master,Published maximum resort altitude,metres,numeric,resort listing,snapshot,BERGFEX_RESORT_DIRECTORY,cleaned source,unique URL join,candidate pre-treatment feature,0.000000,Observation date unknown
cluster_id,resort_master,Existing lift-cluster assignment,identifier,string,lift cluster,snapshot,DERIVED_MULTI_SOURCE,existing identifier,preserved existing assignment,group identifier,0.000000,"Clustering was validated, not rebuilt"
number_lifts,resort_master,Published lift count,count,numeric,resort listing,snapshot,BERGFEX_RESORT_DIRECTORY,cleaned source,unique URL join,candidate pre-treatment feature,0.007380,May differ from preserved geospatial lift count
resort_id,resort_master,Stable ID retained from existing normalised listing table,identifier,string,resort listing,snapshot,DERIVED_MULTI_SOURCE,existing identifier,retained without fuzzy merging,identifier,0.000000,Does not yet prove independent resort-domain status
ski_area_km,resort_master,Published skiable piste length,kilometres,numeric,resort listing,snapshot,BERGFEX_RESORT_DIRECTORY,cleaned source,unique URL join,candidate pre-treatment feature,0.044280,Definition and observation date require review
causal_exposure_approved,resort_municipality_crosswalk,Whether point containment has been approved as a causal tourism exposure,boolean,boolean,resort listing,review snapshot,DERIVED_MULTI_SOURCE,derived,always false at this checkpoint,quality gate,0.000000,Point containment remains distinct from tourism exposure
reviewed_destination_unit_id,resort_municipality_crosswalk,Reviewed destination unit linked to a supplied resort listing where available,identifier,string,resort listing,review snapshot,DESTINATION_SCOPE_OFFICIAL_SET,derived,manual destination review keyed by resort_id,entity resolution,0.933579,Blank for listings outside the 18 candidate entry/outcome links
bfs_hotel_universe,resort_point_municipality,Whether point municipality occurs in live OFS hotel-table metadata,boolean,boolean,point/current municipality,metadata snapshot,BFS_HOTEL_METADATA,derived,point_municipality_bfs_id in BFS Gemeinde codes,coverage flag,0.000000,Does not establish resort exposure
point_municipality_bfs_id,resort_point_municipality,BFS ID of current municipality containing listing coordinate,identifier,Int64,point/current municipality,2026 boundary snapshot,GEOADMIN_MUNICIPALITY_IDENTIFY,derived spatial link,unique is_current_jahr point-identify result,geographic linkage,0.011070,Not a tourism exposure assignment
snow_proxy_quality,resort_snow_station_crosswalk,Rule-based spatial/elevation comparability class,category,string,resort-to-station link,snapshot,DERIVED_MULTI_SOURCE,derived,high if <=10 km and <=500 m gap; moderate if <=25 km and <=1000 m; otherwise low,snow data quality,0.000000,"Comparability class, not measurement accuracy"
snow_station_code,resort_snow_station_crosswalk,SLF station selected as an external mountain snow proxy,identifier,string,resort-to-station link,2013/14-2025/26 coverage gate,SLF_IMIS_STATIONS,derived linkage,geographically nearest snow station among stations with >=80% longitudinal winter coverage,snow linkage,0.000000,Never interpreted as direct slope representation
snow_station_distance_km,resort_snow_station_crosswalk,Great-circle distance from resort listing point to selected SLF station,kilometres,float,resort-to-station link,station metadata snapshot,SLF_IMIS_STATIONS,derived geospatial distance,haversine distance between supplied resort coordinate and station coordinate,snow proxy quality,0.000000,Does not capture terrain barriers or aspect
snow_station_elevation_gap_to_resort_top_m,resort_snow_station_crosswalk,Absolute elevation difference between the SLF station and published resort-top altitude,metres,float,resort-to-station link,snapshot,DERIVED_MULTI_SOURCE,derived,abs(station elevation - Bergfex resort top altitude),snow proxy quality,0.000000,Resort base/mid elevations are unavailable
snow_depth_trend_cm_per_year,resort_snow_vulnerability,Linear trend in proxy-station winter mean snow depth,centimetres per year,float,resort via SLF proxy station,2013/14-2025/26,SLF_IMIS_DAILY_SNOW,derived,OLS slope of winter mean HS on winter start year over usable seasons,snow trend proxy,0.000000,Short series; descriptive only; no uncertainty model yet
snow_reliability_share_days_ge_30cm,resort_snow_vulnerability,Share of valid November-April proxy-station days with snow depth >=30 cm,share,float,resort via SLF proxy station,2013/14-2025/26,SLF_IMIS_DAILY_SNOW,derived,sum station days HS>=30 / sum valid winter days across usable seasons,snow reliability proxy,0.000000,May be shared by multiple resorts mapped to one station
snow_vulnerability_proxy,resort_snow_vulnerability,Inverse of the proxy-station winter-day snow reliability share,0-1 proxy,float,resort via SLF proxy station,2013/14-2025/26,SLF_IMIS_DAILY_SNOW,derived,1 - snow_reliability_share_days_ge_30cm,strategic-need candidate,0.000000,Not a piste-level vulnerability measure and not yet approved for scoring
weather_proxy_quality,resort_weather_station_crosswalk,Rule-based horizontal-distance comparability class for regional weather anomalies,category,string,resort-to-station link,snapshot,DERIVED_MULTI_SOURCE,derived,high if <=10 km; moderate if <=20 km; otherwise low,weather data quality,0.000000,Elevation gap is retained separately; class is not measurement accuracy
weather_station_code,resort_weather_station_crosswalk,SwissMetNet station selected as a regional temperature/precipitation proxy,identifier,string,resort-to-station link,2013-2026 coverage window,METEOSWISS_SMN_STATIONS,derived linkage,nearest current station among official inventory candidates with all four daily parameters starting by 2013,weather linkage,0.000000,Never interpreted as direct slope representation
weather_station_distance_km,resort_weather_station_crosswalk,Great-circle distance from resort listing point to selected SwissMetNet station,kilometres,float,resort-to-station link,station metadata snapshot,METEOSWISS_SMN_STATIONS,derived geospatial distance,haversine distance between supplied resort coordinate and station coordinate,weather proxy quality,0.000000,Does not capture terrain barriers or local gradients
weather_station_elevation_gap_to_resort_top_m,resort_weather_station_crosswalk,Absolute elevation difference between SwissMetNet station and published resort-top altitude,metres,float,resort-to-station link,snapshot,DERIVED_MULTI_SOURCE,derived,abs(station elevation - Bergfex resort top altitude),weather proxy quality,0.000000,Regional anomalies are emphasised because gaps can be large
days_snow_depth_ge_30cm,slf_snow_station_month,Observed days with total snowpack depth at least 30 cm,days,integer,SLF IMIS station,monthly,SLF_IMIS_DAILY_SNOW,derived,count(valid HS >= 30 cm),snow reliability proxy,0.000000,Interpret with observation coverage
snow_depth_mean_cm,slf_snow_station_month,Mean of valid daily SLF total snowpack depth within the month,centimetres,float,SLF IMIS station,monthly,SLF_IMIS_DAILY_SNOW,derived,mean daily HS after negative values are marked invalid,time-varying snow proxy,0.247140,No imputation; station is not a piste observation
snow_depth_observation_coverage_share,slf_snow_station_month,Share of calendar days with a physically valid snow-depth observation,share,float,SLF IMIS station,monthly,SLF_IMIS_DAILY_SNOW,derived,valid HS days / calendar days,snow data quality,0.000000,Month is usable at >=0.80
winter_mean_snow_depth_cm,slf_snow_station_winter,Mean valid daily snowpack depth from November through April,centimetres,float,SLF IMIS station,winter season,SLF_IMIS_DAILY_SNOW,derived,mean daily HS over November-April,snow vulnerability feature,0.235403,Season is usable at >=0.80 observation coverage
assignment_info_flags,stations_ski_assignations_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_03b4345dbe87,existing thesis input,,unclassified,0.24723247232472326,
assignment_quality,stations_ski_assignations_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_03b4345dbe87,existing thesis input,,unclassified,0.0,
assignment_review_reasons,stations_ski_assignations_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_03b4345dbe87,existing thesis input,,unclassified,0.974169741697417,
assignment_uncertain,stations_ski_assignations_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_03b4345dbe87,existing thesis input,,unclassified,0.0,
assignment_uncertainty_reasons,stations_ski_assignations_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_03b4345dbe87,existing thesis input,,unclassified,0.948339483394834,
assignment_warning_reasons,stations_ski_assignations_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_03b4345dbe87,existing thesis input,,unclassified,0.955719557195572,
cluster_display_name,stations_ski_assignations_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_03b4345dbe87,existing thesis input,,unclassified,0.0,
cluster_id,stations_ski_assignations_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_03b4345dbe87,existing thesis input,,unclassified,0.0,
cluster_lift_count,stations_ski_assignations_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_03b4345dbe87,existing thesis input,,unclassified,0.0,
commune,stations_ski_assignations_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,unknown,requires verification,UNKNOWN,LOCAL_03b4345dbe87,existing thesis input,,unclassified,1.0,
distance_m,stations_ski_assignations_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_03b4345dbe87,existing thesis input,,unclassified,0.0,
expected_lifts_total,stations_ski_assignations_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_03b4345dbe87,existing thesis input,,unclassified,0.007380073800738007,
geocode_status,stations_ski_assignations_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_03b4345dbe87,existing thesis input,,unclassified,0.0,
lat,stations_ski_assignations_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_03b4345dbe87,existing thesis input,,unclassified,0.0,
lon,stations_ski_assignations_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_03b4345dbe87,existing thesis input,,unclassified,0.0,
name_match_score,stations_ski_assignations_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_03b4345dbe87,existing thesis input,,unclassified,0.0,
needs_manual_check,stations_ski_assignations_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_03b4345dbe87,existing thesis input,,unclassified,0.0,
region,stations_ski_assignations_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_03b4345dbe87,existing thesis input,,unclassified,0.0,
region_bergfex,stations_ski_assignations_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_03b4345dbe87,existing thesis input,,unclassified,0.0,
second_cluster_id,stations_ski_assignations_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_03b4345dbe87,existing thesis input,,unclassified,0.0,
second_distance_m,stations_ski_assignations_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_03b4345dbe87,existing thesis input,,unclassified,0.0,
second_name_match_score,stations_ski_assignations_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_03b4345dbe87,existing thesis input,,unclassified,0.0,
ski_id,stations_ski_assignations_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_03b4345dbe87,existing thesis input,,unclassified,0.0,
ski_name,stations_ski_assignations_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_03b4345dbe87,existing thesis input,,unclassified,0.0,
url_station,stations_ski_assignations_clusters_gps_bergfex,Source field; definition requires verification,UNKNOWN,string,requires verification,UNKNOWN,LOCAL_03b4345dbe87,existing thesis input,,unclassified,0.0,
assignment_confident_count,stations_ski_clusters_calibration_seuils_gps_bergfex,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_14a174ea6a94,existing thesis input,,unclassified,0.0,
assignment_review_count,stations_ski_clusters_calibration_seuils_gps_bergfex,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_14a174ea6a94,existing thesis input,,unclassified,0.0,
assignment_warning_count,stations_ski_clusters_calibration_seuils_gps_bergfex,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_14a174ea6a94,existing thesis input,,unclassified,0.0,
cluster_confident_count,stations_ski_clusters_calibration_seuils_gps_bergfex,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_14a174ea6a94,existing thesis input,,unclassified,0.0,
cluster_count,stations_ski_clusters_calibration_seuils_gps_bergfex,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_14a174ea6a94,existing thesis input,,unclassified,0.0,
cluster_review_count,stations_ski_clusters_calibration_seuils_gps_bergfex,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_14a174ea6a94,existing thesis input,,unclassified,0.0,
cluster_warning_count,stations_ski_clusters_calibration_seuils_gps_bergfex,Source field; definition requires verification,UNKNOWN,numeric,requires verification,UNKNOWN,LOCAL_14a174ea6a94,existing thesis input,,unclassified,0.0,
